
B a
绉 -13.901761646007495D
绊 -12.292323733573395D
绍 -12.11000217677944D
经 -4.5335265913298075D
绑 -11.628164089886702D
绒 -9.894428460775025D
结 -5.573207064877189D
绕 -11.111473346668312D
绘 -8.640552938855052D
给 -10.091929581475897D
绛 -12.903232815896368D
络 -11.478223942595786D
绝 -8.605589435805847D
绞 -10.326210877200563D
统 -7.987872614500699D
绢 -11.557212353914418D
绣 -10.682885821139294D
绥 -14.238233882628707D
绦 -11.516938454776477D
继 -8.89494315043794D
绩 -9.899636805882162D
绪 -14.055912325834754D
绫 -13.282722437601272D
续 -10.400934423396498D
绯 -11.704537068671275D
绰 -10.405254084541015D
绲 -15.154524614502863D
绳 -9.098912247571128D
维 -8.24776983585431D
绵 -10.147228221672123D
绶 -13.20861446544755D
绷 -11.293794903462267D
绸 -10.181245106950376D
综 -8.515302589133746D
绿 -7.589249332603932D
缀 -15.154524614502863D
缂 -12.446474413400653D
缅 -14.238233882628707D
缆 -11.18423270095074D
缉 -13.650447217726589D
缎 -11.094081603956443D
缓 -10.467774441522348D
缔 -9.981203738129512D
编 -7.184129707311434D
缘 -9.03532670088533D
缙 -10.927690869234683D
缚 -13.014458451006591D
缝 -9.445754598335624D
缟 -12.903232815896368D
缠 -13.650447217726589D
缢 -13.139621593960598D
缧 -14.238233882628707D
缨 -13.014458451006591D
缩 -9.403540538362368D
缫 -12.589575257041327D
缬 -14.055912325834754D
缰 -10.505337543097998D
缴 -14.7490595063947D
缸 -11.736797930889496D
缺 -8.088057644365906D
缽 -11.688788711703136D
罂 -10.57981363599948D
罅 -14.055912325834754D
罌 -10.57981363599948D
罐 -9.296591460019403D
网 -6.677840966424836D
罗 -8.973473299609514D
罚 -10.326210877200563D
罡 -15.847671795062809D
罢 -14.7490595063947D
罩 -11.720537410017716D
罪 -8.233359648610808D
置 -9.306641795872904D
罰 -10.326210877200563D
署 -12.063482161144547D
罵 -11.370334980584602D
罷 -14.7490595063947D
罹 -15.847671795062809D
羁 -11.720537410017716D
羅 -8.973473299609514D
羈 -11.720537410017716D
羊 -8.142409320196483D
羌 -12.756629341704492D
美 -7.088003124032869D
羔 -11.359035425330669D
羚 -10.241869728766812D
羞 -11.165540567938589D
羟 -10.444994413190528D
群 -6.767781852470691D
羥 -10.444994413190528D
羧 -10.7914259897145D
義 -7.450614404886552D
羯 -13.901761646007495D
羰 -11.111473346668312D
羶 -12.957300037166643D
羹 -13.768230253382972D
羽 -9.184539099072005D
翁 -13.768230253382972D
翅 -9.678061062571352D
翎 -11.704537068671275D
習 -7.563167567804312D
翘 -12.264152856606698D
翠 -11.027390229457772D
翡 -10.310337528044272D
翩 -15.154524614502863D
翰 -10.230900697396237D
翹 -12.264152856606698D
翻 -10.458600065246307D
翼 -10.334243048897827D
耀 -12.063482161144547D
老 -5.437848684033554D
考 -8.332327223882373D
耄 -14.7490595063947D
耆 -11.935648789634662D
耐 -9.709944740976574D
耒 -13.449776522264438D
耕 -8.568352959648188D
耗 -9.986885571596943D
耘 -15.847671795062809D
耙 -13.139621593960598D
耳 -7.863549836359882D
耵 -14.7490595063947D
耶 -12.480375965076334D
耸 -12.903232815896368D
耻 -10.418326166108368D
耿 -14.7490595063947D
聊 -12.589575257041327D
聋 -11.18423270095074D
职 -6.6359324021729185D
联 -7.191760684334748D
聖 -7.80208351425928D
聘 -11.283323603594972D
聚 -8.561480080360425D
聞 -12.210085635336423D
聪 -10.810719192649179D
聯 -7.191760684334748D
聰 -10.810719192649179D
聲 -6.49600548699619D
聳 -12.903232815896368D
職 -6.6359324021729185D
聽 -8.979697386092516D
聾 -11.18423270095074D
肃 -12.515467284887604D
肄 -15.154524614502863D
肅 -12.515467284887604D
肇 -11.557212353914418D
肉 -8.156014972252262D
肋 -10.857239208284073D
肌 -8.212367908803394D
肖 -10.338283458434832D
肘 -11.336812288545959D
肚 -8.593493948606291D
肛 -10.283151387740116D
肝 -8.493309464641332D
肠 -9.174373827295154D
股 -4.777991190037625D
肢 -10.048579140602282D
肤 -10.877858495486809D
肥 -8.841882775809307D
肩 -8.625835969774359D
肯 -11.896428076481381D
肱 -13.362765145274809D
育 -12.589575257041327D
肴 -12.628795970194608D
肺 -8.794086067869133D
肽 -15.847671795062809D
肾 -8.014071571401704D
肿 -8.817698883356423D
胁 -12.903232815896368D
胃 -8.912301349047699D
胆 -8.446440530649793D
背 -7.305785991056199D
胎 -8.836457807712442D
胖 -7.360113408776262D
胚 -8.951989097314941D
胜 -8.659259058565855D
胞 -11.628164089886702D
胡 -7.937815127793406D
胥 -15.847671795062809D
胫 -12.515467284887604D
胬 -15.154524614502863D
胭 -10.61656317820822D
胯 -13.449776522264438D
胰 -9.469245611411221D
胱 -14.055912325834754D
胳 -8.790634813364917D
胴 -12.957300037166643D
胶 -8.817698883356423D
胸 -8.028437341203738D
胼 -12.55183492905848D
能 -5.832732317232537D
脂 -8.322571048937007D
脅 -12.903232815896368D
脆 -11.003484708604217D
脈 -8.954015440460173D
脉 -8.954015440460173D
脊 -8.86573711790642D
脏 -9.384642338142138D
脐 -11.59917655301345D
脑 -7.495589123710171D
脓 -10.114330518165064D
脖 -8.599167722692199D
脚 -7.51970393675732D
脛 -12.515467284887604D
脫 -10.283151387740116D
脯 -14.238233882628707D
脱 -10.283151387740116D
脸 -7.70096274285949D
脾 -8.708804795117285D
腈 -12.628795970194608D
腊 -10.539404097661604D
腋 -11.490962968373216D
腌 -12.184110148933161D
腎 -8.014071571401704D
腐 -9.975554005587393D
腓 -13.075083072823027D
腔 -11.085497860265052D
腕 -11.019358057760508D
腠 -12.803149357339386D
腥 -11.23255127822155D
腦 -7.495589123710171D
腧 -10.69438020056503D
腫 -8.817698883356423D
腭 -13.768230253382972D
腮 -11.242501609074717D
腰 -8.620009296334153D
腱 -13.20861446544755D
腳 -7.51970393675732D
腸 -9.174373827295154D
腹 -8.3102417584763D
腺 -10.036530802086109D
腻 -15.847671795062809D
腾 -14.055912325834754D
腿 -10.170917992794527D
膀 -9.623113365787448D
膂 -12.957300037166643D
膏 -10.330218898598101D
膘 -15.154524614502863D
膚 -10.877858495486809D
膛 -12.480375965076334D
膜 -11.877379881510686D
膝 -9.623113365787448D
膠 -8.817698883356423D
膨 -11.822320104327659D
膩 -15.847671795062809D
膳 -10.491085520390795D
膻 -12.957300037166643D
膽 -8.446440530649793D
膿 -10.114330518165064D
臀 -9.998347015115948D
臂 -10.632736037453823D
臆 -14.7490595063947D
臉 -7.70096274285949D
臊 -11.915846162338482D
臌 -15.154524614502863D
臍 -11.59917655301345D
臘 -10.539404097661604D
臟 -9.384642338142138D
臣 -9.202580825557165D
臥 -9.588090330997886D
臧 -15.154524614502863D
臨 -9.722988404168603D
自 -6.722562567449286D
臭 -9.474352005485796D
至 -11.165540567938589D
致 -9.989738640579349D
臼 -11.272960816559426D
舀 -15.847671795062809D
舅 -9.476059947830953D
舆 -8.984913882011407D
與 -11.416854996219495D
興 -7.995621587796919D
舉 -7.973312970332927D
舊 -8.325271563675683D
舌 -9.011412517785741D
舍 -9.886666455439535D
舒 -10.334243048897827D
舛 -14.461377433942918D
舜 -14.238233882628707D
舞 -7.790928020087494D
舟 -11.42883118726621D
舢 -11.06854830195128D
航 -6.480498629059837D
般 -11.242501609074717D
舰 -8.02562778687719D
舱 -9.953268960797958D
舳 -13.650447217726589D
舴 -15.154524614502863D
舵 -11.804620527228257D
舶 -14.238233882628707D
舷 -12.480375965076334D
船 -7.357849800442703D
舾 -15.154524614502863D
艄 -11.628164089886702D
艇 -12.210085635336423D
艙 -9.953268960797958D
艦 -8.02562778687719D
艨 -13.139621593960598D
良 -8.411054529828583D
艰 -12.669617964714863D
艱 -12.669617964714863D
色 -7.5874375034555115D
艳 -11.262704316392236D
艷 -11.262704316392236D
艺 -6.938436515870547D
艾 -9.521522321907709D
节 -7.282069464438884D
芋 -12.086471679369247D
芍 -11.212942806833173D
芒 -10.549354428514771D
芗 -14.7490595063947D
芙 -9.902251186456233D
芜 -13.650447217726589D
芝 -9.81939327483211D
芡 -12.11000217677944D
芤 -15.154524614502863D
芥 -10.843725489117348D
芦 -8.55397407446137D
芨 -13.545086702068764D
芫 -12.480375965076334D
芬 -10.980137344607225D
芭 -9.502035434234212D
芯 -10.29471221014119D
花 -6.678465966445181D
芳 -9.434212837895451D
芴 -15.847671795062809D
芸 -11.347862124732544D
芹 -11.212942806833173D
芻 -13.768230253382972D
芽 -10.837036500966553D
苁 -13.768230253382972D
苇 -10.574672236499062D
苋 -12.803149357339386D
苍 -9.447414349753988D
苎 -10.935016909326757D
苏 -9.111891780820482D
苑 -12.957300037166643D
苓 -15.847671795062809D
苔 -10.350503569769607D
苕 -14.055912325834754D
苗 -9.760897068150502D
苘 -13.449776522264438D
苛 -12.184110148933161D
苜 -11.642979175671842D
苞 -11.212942806833173D
苟 -15.154524614502863D
苣 -15.847671795062809D
苤 -15.847671795062809D
若 -11.896428076481381D
苦 -8.367807663897782D
苧 -10.935016909326757D
苫 -13.362765145274809D
苯 -9.655309305587936D
英 -7.765887588127807D
苹 -8.967287712876804D
茂 -15.154524614502863D
范 -6.802795862814158D
茄 -10.79781578781327D
茅 -8.405765067011185D
茉 -10.68861649584828D
茎 -11.704537068671275D
茜 -12.413684590577661D
茧 -11.642979175671842D
茬 -12.851939521508818D
茭 -12.210085635336423D
茯 -10.778767592842577D
茱 -13.014458451006591D
茲 -15.154524614502863D
茴 -12.264152856606698D
茵 -12.756629341704492D
茶 -7.243017327876577D
茸 -11.955851496952182D
茼 -13.449776522264438D
荆 -10.69438020056503D
草 -6.9258138157091755D
荊 -10.69438020056503D
荐 -14.7490595063947D
荒 -8.283952126648442D
荔 -10.367032871720816D
荚 -12.041009305292489D
荞 -10.741726321162227D
荠 -12.446474413400653D
荡 -13.650447217726589D
荣 -9.010338980377217D
荤 -12.063482161144547D
荧 -9.5823705823251D
荨 -12.086471679369247D
荫 -12.851939521508818D
药 -6.865990155088945D
荷 -9.101259666489435D
荸 -12.019030398573713D
莆 -13.650447217726589D
莊 -8.587149196972955D
莎 -11.787228784516389D
莖 -11.704537068671275D
莘 -13.901761646007495D
莜 -12.413684590577661D
莠 -15.847671795062809D
莢 -12.041009305292489D
莧 -12.803149357339386D
莨 -12.446474413400653D
莪 -15.154524614502863D
莫 -11.955851496952182D
莱 -11.822320104327659D
莲 -8.732089668878356D
莳 -15.154524614502863D
莴 -12.236753882418585D
获 -10.181245106950376D
莼 -13.362765145274809D
莽 -12.669617964714863D
菁 -14.461377433942918D
菇 -14.461377433942918D
菊 -9.81939327483211D
菌 -9.939588856893877D
菖 -12.628795970194608D
菜 -8.601303714960347D
菝 -14.7490595063947D
菟 -12.210085635336423D
菠 -9.947774441480316D
菡 -14.055912325834754D
菩 -8.607022100807342D
華 -7.65289015661945D
菱 -10.326210877200563D
菲 -12.851939521508818D
菽 -15.154524614502863D
萄 -15.847671795062809D
萊 -11.822320104327659D
萍 -13.014458451006591D
萎 -12.210085635336423D
萘 -11.720537410017716D
萜 -12.803149357339386D
萝 -10.06692827927048D
萤 -10.20222489741957D
营 -7.086121655933164D
萧 -13.014458451006591D
萨 -10.529551801218592D
萬 -7.977123950555097D
萱 -13.20861446544755D
萵 -12.236753882418585D
萼 -11.193711444905285D
落 -8.475553766725021D
葉 -8.070298192404946D
著 -7.777703646002967D
葛 -12.1340997283585D
葡 -8.193702614584033D
董 -7.36424223379938D
葦 -10.574672236499062D
葫 -9.276788832723224D
葬 -10.559404764368272D
葱 -10.79781578781327D
葵 -11.043650750329553D
葶 -14.461377433942918D
葷 -12.063482161144547D
蒂 -14.7490595063947D
蒋 -14.238233882628707D
蒔 -15.154524614502863D
蒙 -9.474352005485796D
蒜 -11.325883218013768D
蒲 -10.505337543097998D
蒴 -10.711873358012546D
蒸 -8.698540196505402D
蒺 -12.446474413400653D
蒼 -9.447414349753988D
蒽 -12.55183492905848D
蒿 -11.976470784154918D
蓄 -9.406725254429888D
蓇 -12.589575257041327D
蓋 -9.894428460775025D
蓍 -13.362765145274809D
蓑 -11.99752419335275D
蓓 -13.282722437601272D
蓖 -11.704537068671275D
蓝 -8.13076565976442D
蓬 -14.238233882628707D
蓮 -8.732089668878356D
蓯 -13.768230253382972D
蓴 -13.362765145274809D
蓼 -15.154524614502863D
蔊 -15.154524614502863D
蔑 -13.768230253382972D
蔓 -12.851939521508818D
蔗 -10.302494350583245D
蔚 -12.957300037166643D
蔣 -14.238233882628707D
蔥 -10.79781578781327D
蔬 -8.514648780676326D
蔭 -12.851939521508818D
蔷 -10.554366970338316D
蔺 -12.446474413400653D
蕁 -12.086471679369247D
蕃 -14.238233882628707D
蕉 -12.803149357339386D
蕎 -10.741726321162227D
蕙 -14.7490595063947D
蕤 -14.7490595063947D
蕨 -11.252551944928218D
蕪 -13.650447217726589D
蕭 -13.014458451006591D
蕲 -13.768230253382972D
蕴 -10.057711624165554D
蕹 -14.461377433942918D
蕺 -14.461377433942918D
蕾 -14.7490595063947D
薄 -8.960119223398191D
薌 -14.7490595063947D
薏 -11.955851496952182D
薔 -10.554366970338316D
薜 -13.768230253382972D
薤 -14.055912325834754D
薦 -14.7490595063947D
薩 -10.529551801218592D
薪 -9.434212837895451D
薯 -10.711873358012546D
薺 -12.446474413400653D
藍 -8.13076565976442D
藏 -9.083786886500373D
藓 -14.7490595063947D
藕 -11.955851496952182D
藝 -6.938436515870547D
藠 -14.461377433942918D
藤 -9.958793836729928D
藥 -6.865990155088945D
藩 -10.857239208284073D
藺 -12.446474413400653D
藻 -10.174348527891317D
藿 -12.086471679369247D
蘄 -13.768230253382972D
蘆 -8.55397407446137D
蘇 -9.111891780820482D
蘊 -10.057711624165554D
蘋 -8.967287712876804D
蘑 -10.079350799269037D
蘘 -15.154524614502863D
蘚 -14.7490595063947D
蘭 -10.137244777687938D
蘼 -13.768230253382972D
蘿 -10.06692827927048D
虎 -9.210413763778352D
虐 -14.055912325834754D
虔 -12.803149357339386D
處 -7.882820907615495D
虚 -8.825695371990648D
虛 -8.825695371990648D
虞 -13.20861446544755D
號 -8.675247217937963D
虧 -10.638185642221387D
虫 -9.601565029581245D
虬 -12.019030398573713D
虯 -12.019030398573713D
虱 -11.019358057760508D
虹 -11.23255127822155D
虼 -13.20861446544755D
虾 -10.920418109905604D
蚀 -15.847671795062809D
蚁 -11.465645160388927D
蚂 -9.986885571596943D
蚊 -10.030560635099604D
蚌 -11.530183681526498D
蚍 -15.847671795062809D
蚕 -9.406725254429888D
蚜 -11.503866373209124D
蚝 -14.238233882628707D
蚩 -12.041009305292489D
蚯 -10.906029372453505D
蚰 -11.642979175671842D
蚱 -13.650447217726589D
蚶 -14.238233882628707D
蛀 -11.896428076481381D
蛆 -12.019030398573713D
蛇 -9.886666455439535D
蛋 -7.8564178652226095D
蛏 -13.768230253382972D
蛐 -12.236753882418585D
蛔 -11.381763676408225D
蛙 -11.688788711703136D
蛛 -11.193711444905285D
蛞 -13.014458451006591D
蛟 -11.720537410017716D
蛤 -10.804246678143562D
蛭 -11.976470784154918D
蛮 -10.935016909326757D
蛱 -13.449776522264438D
蛲 -13.075083072823027D
蛴 -13.362765145274809D
蛹 -15.847671795062809D
蛺 -13.449776522264438D
蛻 -14.055912325834754D
蛾 -11.955851496952182D
蜀 -11.242501609074717D
蜂 -9.139587711209739D
蜃 -13.282722437601272D
蜈 -9.795582626138392D
蜉 -12.446474413400653D
蜒 -15.154524614502863D
蜕 -14.055912325834754D
蜗 -10.283151387740116D
蜘 -10.267941969076587D
蜚 -13.449776522264438D
蜜 -9.424424831529288D
蜡 -9.298021052828998D
蜣 -12.756629341704492D
蜥 -11.019358057760508D
蜻 -10.987859390701136D
蜾 -14.055912325834754D
蝇 -13.650447217726589D
蝈 -12.957300037166643D
蝉 -12.019030398573713D
蝌 -10.275517762885045D
蝎 -10.935016909326757D
蝕 -15.847671795062809D
蝗 -10.621925121349607D
蝙 -10.383839990037199D
蝤 -14.461377433942918D
蝦 -10.920418109905604D
蝨 -11.019358057760508D
蝮 -12.041009305292489D
蝰 -14.238233882628707D
蝲 -14.461377433942918D
蝴 -9.899636805882162D
蝶 -11.293794903462267D
蝸 -10.283151387740116D
蝼 -11.736797930889496D
蝾 -12.1340997283585D
螃 -11.027390229457772D
融 -9.79793833983085D
螞 -9.986885571596943D
螟 -12.515467284887604D
螢 -10.20222489741957D
螨 -14.7490595063947D
螫 -13.545086702068764D
螯 -13.901761646007495D
螳 -11.54360670185864D
螺 -8.461200946232914D
螻 -11.736797930889496D
螽 -13.768230253382972D
蟈 -12.957300037166643D
蟊 -13.768230253382972D
蟋 -11.060180052280762D
蟎 -14.7490595063947D
蟑 -11.370334980584602D
蟒 -11.59917655301345D
蟠 -11.54360670185864D
蟪 -15.847671795062809D
蟬 -12.019030398573713D
蟯 -13.075083072823027D
蟲 -9.601565029581245D
蟶 -13.768230253382972D
蟹 -11.557212353914418D
蟻 -11.465645160388927D
蟾 -10.671522062488979D
蠅 -13.650447217726589D
蠍 -10.935016909326757D
蠐 -13.362765145274809D
蠑 -12.1340997283585D
蠓 -13.545086702068764D
蠔 -14.238233882628707D
蠕 -11.165540567938589D
蠟 -9.298021052828998D
蠢 -11.043650750329553D
蠶 -9.406725254429888D
蠹 -13.545086702068764D
蠻 -10.935016909326757D
蠼 -15.847671795062809D
血 -6.7979697690494385D
行 -5.014543026284387D
衍 -10.375401121391334D
術 -9.975554005587393D
衔 -13.768230253382972D
街 -8.357142393002096D
衙 -8.314512987607246D
衛 -7.733347085907469D
衝 -8.556697016919827D
衡 -12.210085635336423D
衣 -7.166830312118238D
补 -8.107877336654107D
表 -6.902991111503914D
衬 -9.802666481026797D
衰 -12.11000217677944D
衷 -11.753327232840707D
袁 -13.650447217726589D
袈 -10.477033766935145D
袋 -10.5246618159244D
袍 -10.891844737461549D
袖 -9.502035434234212D
袜 -10.454044248710447D
被 -7.88316843151126D
袭 -12.589575257041327D
袷 -14.7490595063947D
裁 -9.40195197567723D
裂 -8.921094761840084D
装 -6.670164580181866D
裆 -14.238233882628707D
裘 -12.1340997283585D
裙 -10.191679984242956D
補 -8.107877336654107D
裝 -6.670164580181866D
裡 -8.553294495773986D
裤 -9.016797560416629D
裨 -12.628795970194608D
裸 -11.822320104327659D
裹 -12.628795970194608D
褂 -11.094081603956443D
褐 -9.318252956800583D
褒 -12.957300037166643D
褡 -11.840338609830338D
褥 -11.59917655301345D
褲 -9.016797560416629D
褶 -9.262880402677093D
襁 -11.858687748498534D
襄 -14.7490595063947D
襟 -11.628164089886702D
襠 -14.238233882628707D
襪 -10.454044248710447D
襯 -9.802666481026797D
襲 -12.589575257041327D
西 -6.922616370938685D
要 -7.387895874516522D
覆 -9.18966074919206D
見 -8.636115061749008D
規 -5.356953287558285D
視 -7.669594331213202D
親 -7.088631067538589D
覺 -10.350503569769607D
觀 -6.885408240946047D
见 -8.636115061749008D
观 -6.885408240946047D
规 -5.356953287558285D
视 -7.669594331213202D
觉 -10.350503569769607D
角 -7.223778984987515D
解 -8.601303714960347D
触 -9.472646975234712D
觱 -13.545086702068764D
觸 -9.472646975234712D
言 -8.400503435462769D
訂 -8.723193532569384D
訃 -12.264152856606698D
計 -6.2880134756014625D
訊 -11.557212353914418D
討 -11.787228784516389D
訓 -9.824224202101776D
記 -5.974901215188741D
訛 -12.086471679369247D
訟 -12.903232815896368D
訣 -12.086471679369247D
訪 -11.935648789634662D
設 -6.658350790310701D
許 -9.992599872860382D
訴 -11.18423270095074D
診 -10.711873358012546D
詐 -12.086471679369247D
詔 -9.669727681012208D
評 -8.033272161258322D
詞 -8.462440871996234D
詠 -12.1340997283585D
詢 -15.847671795062809D
試 -8.62073577656952D
詩 -7.210209771255626D
詬 -11.516938454776477D
詭 -11.094081603956443D
詮 -15.154524614502863D
話 -7.80883703727506D
該 -12.903232815896368D
詳 -10.338283458434832D
誇 -10.823791274216532D
誉 -13.768230253382972D
誊 -15.847671795062809D
認 -9.349389645586374D
誑 -13.075083072823027D
誓 -10.654714944172598D
誕 -11.736797930889496D
誘 -10.21288219189356D
語 -6.855487432889796D
誠 -9.958793836729928D
誣 -13.650447217726589D
誤 -8.94895726073282D
誥 -12.11000217677944D
誦 -14.461377433942918D
說 -7.823464309284231D
課 -8.394689465597349D
誹 -12.851939521508818D
調 -8.823022764609172D
談 -10.913197861932117D
請 -9.947774441480316D
諍 -13.282722437601272D
論 -7.425888788451229D
諜 -12.351164233596329D
諡 -11.804620527228257D
諢 -12.589575257041327D
諧 -10.114330518165064D
諫 -14.461377433942918D
諭 -10.431571392858388D
諮 -10.74780536723861D
諷 -12.11000217677944D
諸 -8.61061276893807D
諺 -11.051881249466067D
諾 -10.857239208284073D
謀 -9.848735233116125D
謂 -11.325883218013768D
謄 -15.847671795062809D
謊 -10.760075459830425D
謎 -10.559404764368272D
謙 -13.545086702068764D
講 -8.320415875689024D
謝 -11.77013435115709D
謠 -9.800299616016531D
謬 -10.870938052642234D
謾 -14.7490595063947D
證 -5.732061194495936D
識 -11.262704316392236D
譙 -13.282722437601272D
譜 -10.817233873670373D
警 -7.598619520891517D
譫 -11.896428076481381D
譯 -9.25462726092037D
議 -7.208969186249374D
護 -8.32419048248931D
譽 -13.768230253382972D
讀 -8.620009296334153D
變 -7.488771182641164D
讒 -11.915846162338482D
讓 -14.7490595063947D
讕 -14.461377433942918D
讖 -11.359035425330669D
计 -6.2880134756014625D
订 -8.723193532569384D
讣 -12.264152856606698D
认 -9.349389645586374D
讨 -11.787228784516389D
让 -14.7490595063947D
训 -9.824224202101776D
议 -7.208969186249374D
讯 -11.557212353914418D
记 -5.974901215188741D
讲 -8.320415875689024D
许 -9.992599872860382D
讹 -12.086471679369247D
论 -7.425888788451229D
讼 -12.903232815896368D
讽 -12.11000217677944D
设 -6.658350790310701D
访 -11.935648789634662D
诀 -12.086471679369247D
证 -5.732061194495936D
评 -8.033272161258322D
识 -11.262704316392236D
诈 -12.086471679369247D
诉 -11.18423270095074D
诊 -10.711873358012546D
词 -8.462440871996234D
诏 -9.669727681012208D
译 -9.25462726092037D
试 -8.62073577656952D
诗 -7.210209771255626D
诚 -9.958793836729928D
话 -7.80883703727506D
诞 -11.736797930889496D
诟 -11.516938454776477D
诠 -15.154524614502863D
诡 -11.094081603956443D
询 -15.847671795062809D
诤 -13.282722437601272D
该 -12.903232815896368D
详 -10.338283458434832D
诨 -12.589575257041327D
诬 -13.650447217726589D
语 -6.855487432889796D
误 -8.94895726073282D
诰 -12.11000217677944D
诱 -10.21288219189356D
诳 -13.075083072823027D
说 -7.823464309284231D
诵 -14.461377433942918D
请 -9.947774441480316D
诸 -8.61061276893807D
诺 -10.857239208284073D
读 -8.620009296334153D
诽 -12.851939521508818D
课 -8.394689465597349D
调 -8.823022764609172D
谈 -10.913197861932117D
谋 -9.848735233116125D
谍 -12.351164233596329D
谎 -10.760075459830425D
谏 -14.461377433942918D
谐 -10.114330518165064D
谓 -11.325883218013768D
谕 -10.431571392858388D
谗 -11.915846162338482D
谚 -11.051881249466067D
谜 -10.559404764368272D
谢 -11.77013435115709D
谣 -9.800299616016531D
谥 -11.804620527228257D
谦 -13.545086702068764D
谩 -14.7490595063947D
谬 -10.870938052642234D
谯 -13.282722437601272D
谰 -14.461377433942918D
谱 -10.817233873670373D
谵 -11.896428076481381D
谶 -11.359035425330669D
谷 -8.144664112583571D
豁 -11.405020538572492D
豆 -7.810128609944112D
豇 -12.210085635336423D
豈 -15.154524614502863D
豉 -15.847671795062809D
豌 -10.28699016404728D
豎 -10.51013371536149D
豐 -10.495813661586743D
豚 -12.756629341704492D
象 -9.337413454539659D
豨 -15.847671795062809D
豪 -8.735344350351896D
豫 -11.111473346668312D
豬 -8.97037572356538D
豹 -10.621925121349607D
豺 -12.11000217677944D
貂 -11.381763676408225D
貉 -13.768230253382972D
貓 -10.009941347896868D
貔 -14.238233882628707D
貝 -9.180715002633601D
貞 -11.54360670185864D
負 -7.234986622187351D
財 -5.965612189940301D
貢 -7.608342367161014D
貧 -8.842789805349948D
貨 -6.014231240838715D
販 -11.138141593750474D
貪 -10.330218898598101D
貫 -13.362765145274809D
責 -7.279595393332001D
貯 -11.658017053036383D
貳 -13.768230253382972D
貴 -7.413425524467497D
貶 -12.803149357339386D
買 -8.55806127361164D
貸 -6.923281662693648D
費 -7.579196406080211D
貼 -9.958793836729928D
貽 -12.11000217677944D
貿 -9.793232448793438D
賀 -11.490962968373216D
賁 -12.803149357339386D
賄 -12.041009305292489D
資 -4.508695037226598D
賊 -10.085620412282632D
賑 -13.768230253382972D
賒 -15.154524614502863D
賓 -9.271202226014584D
賞 -9.60739594989204D
賠 -9.894428460775025D
賢 -9.238322551895427D
賣 -9.20128128021508D
賤 -10.5246618159244D
賦 -9.156829517644246D
質 -6.989018825514319D
賬 -7.750245496465595D
賭 -9.758626919615962D
賴 -11.840338609830338D
賺 -13.075083072823027D
購 -8.726419341818268D
賽 -9.619160791471625D
贅 -12.086471679369247D
贈 -11.405020538572492D
贊 -10.275517762885045D
贍 -13.362765145274809D
贏 -10.823791274216532D
贓 -10.99564153114319D
贖 -11.59917655301345D
贗 -12.55183492905848D
贛 -13.768230253382972D
贝 -9.180715002633601D
贞 -11.54360670185864D
负 -7.234986622187351D
贡 -7.608342367161014D
财 -5.965612189940301D
责 -7.279595393332001D
贤 -9.238322551895427D
败 -9.419566522378211D
账 -7.750245496465595D
货 -6.014231240838715D
质 -6.989018825514319D
贩 -11.138141593750474D
贪 -10.330218898598101D
贫 -8.842789805349948D
贬 -12.803149357339386D
购 -8.726419341818268D
贮 -11.658017053036383D
贯 -13.362765145274809D
贰 -13.768230253382972D
贱 -10.5246618159244D
贲 -12.803149357339386D
贴 -9.958793836729928D
贵 -7.413425524467497D
贷 -6.923281662693648D
贸 -9.793232448793438D
费 -7.579196406080211D
贺 -11.490962968373216D
贻 -12.11000217677944D
贼 -10.085620412282632D
贿 -12.041009305292489D
赃 -10.99564153114319D
资 -4.508695037226598D
赈 -13.768230253382972D
赊 -15.154524614502863D
赋 -9.156829517644246D
赌 -9.758626919615962D
赎 -11.59917655301345D
赏 -9.60739594989204D
赔 -9.894428460775025D
赖 -11.840338609830338D
赘 -12.086471679369247D
赚 -13.075083072823027D
赛 -9.619160791471625D
赝 -12.55183492905848D
赞 -10.275517762885045D
赠 -11.405020538572492D
赡 -13.362765145274809D
赢 -10.823791274216532D
赣 -13.768230253382972D
赤 -8.286030049474029D
赦 -12.903232815896368D
赭 -12.041009305292489D
走 -6.9465776734542475D
赵 -13.545086702068764D
起 -7.563167567804312D
超 -8.19086170358243D
越 -10.20222489741957D
趋 -7.0005994824950015D
趙 -13.545086702068764D
趟 -14.461377433942918D
趣 -10.422721777581406D
趨 -7.0005994824950015D
足 -8.837359927755578D
趵 -12.381935892263082D
趸 -12.957300037166643D
趾 -12.55183492905848D
跃 -13.545086702068764D
跆 -12.957300037166643D
跋 -13.650447217726589D
跌 -7.8185647404430725D
跑 -9.91277759944322D
跖 -14.461377433942918D
跗 -12.351164233596329D
跛 -11.822320104327659D
距 -7.730359333460835D
跟 -10.68861649584828D
跡 -8.32743723858818D
跨 -9.69281370104639D
跪 -12.957300037166643D
跬 -15.847671795062809D
路 -7.328081479046849D
跳 -10.088770021185528D
跷 -11.628164089886702D
踏 -10.817233873670373D
踝 -13.139621593960598D
踢 -13.449776522264438D
踩 -15.847671795062809D
踪 -9.641095868337882D
踺 -14.238233882628707D
蹄 -10.101468604522655D
蹊 -13.901761646007495D
蹠 -14.461377433942918D
蹦 -14.461377433942918D
蹬 -13.768230253382972D
蹲 -13.768230253382972D
蹴 -13.768230253382972D
蹺 -11.628164089886702D
蹼 -14.7490595063947D
躁 -13.449776522264438D
躉 -12.957300037166643D
